File Name,Overall BLEU Score,Overall ROUGE-L Score,Overall METEOR Score
VariationalImbalancedRegression-ltZ1uw8ZE7.json,0.0049089533607007,0.1248356898616045,0.1665897856989446
AnamnesicNeuralDifferentialEquations_xYWqSjBcGMl.json,0.0043013036908764,0.0814845326842135,0.1349575486445569
Communication-Efficient-59_mb1lOf4.json,0.0032492828857108,0.0885493443502298,0.1101835509100076
Corrupted_Image_09hVcSDkea.json,0.0064960037148265,0.0982408037866802,0.1350977319236374
EfficientTTS_2__czv_gqDQt.json,0.0018339028173012,0.0469628057485582,0.096825800456907
Exploring_perceptual_4cOfD2qL6T.json,0.0027919237208469,0.0786035760834148,0.1228577982530331
FedAvg_5sMa2sdU4.json,0.0067991520479642,0.1284625444490664,0.1701355359417741
GuardHFL__GGLJ79pV.json,0.0020483605893453,0.0795563593118506,0.1681255447887315
StochasticNo-regretLearning_oJZ8bPtCar.json,0.0037570414814461,0.1144243090688739,0.1960698739229454
TwoLayerReLURisk_6doXHqwMayf.json,0.010226159244472429,0.08399720796834804,0.1549485767573683
