File Name,Overall BLEU Score,Overall ROUGE-L Score,Overall METEOR Score
TwoLayerReLURisk_6doXHqwMayf.json,0.0009809589555489,0.0826671461721993,0.0686377051058235
AnamnesicNeuralDifferentialEquations_xYWqSjBcGMl.json,0.0006251277453492,0.0927695963156524,0.0863637245285622
Communication-Efficient-59_mb1lOf4.json,0.0001629805962343,0.066950648341994,0.0530652181411161
Corrupted_Image_09hVcSDkea.json,1.1679879895181231e-05,0.0608946639721542,0.0364867172336117
EfficientTTS_2__czv_gqDQt.json,3.5765210073570255e-10,0.0296905387843832,0.0160433179833452
Exploring_perceptual_4cOfD2qL6T.json,5.210270143883511e-07,0.0446109059692334,0.0268917790829079
FedAvg_5sMa2sdU4.json,0.0003915382888734,0.0750412396476541,0.0587757364715379
GuardHFL__GGLJ79pV.json,1.3133398523798722e-05,0.0621747093837257,0.039683160356647
StochasticNo-regretLearning_oJZ8bPtCar.json,5.801927446189892e-06,0.058267848543042,0.0368750670953314
VariationalImbalancedRegression-ltZ1uw8ZE7.json,5.6952027914100284e-05,0.0717999013049641,0.05358421672894933
